CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,,0.0,12,5
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,5
C10031,12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323491,3292.01503,0.0,12,5
C10038,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,5
C10050,229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0,87,3300.0,2543.953559,175.657825,0.916667,12,5
C10053,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,2500.0,1399.82834,1322.446601,0.0,12,5
C10055,464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,3000.0,3110.052742,132.446091,0.2,9,5
C10090,7069.950386,1.0,1603.78,1445.14,158.64,5626.004046,1.0,0.833333,1.0,0.75,23,23,11000.0,4589.873897,1876.262988,0.0,12,5
C10092,8181.251131,1.0,2258.01,1318.78,939.23,5251.228934,1.0,0.75,1.0,0.75,21,60,13500.0,3021.575846,2074.581541,0.0,12,5
C10107,3539.801912,1.0,2823.8,1540.41,1283.39,0.0,0.916667,0.916667,0.833333,0.0,0,75,5700.0,9172.788366,2103.796148,0.083333,12,5
C10117,5322.994094,1.0,2812.2,857.12,1955.08,2510.352951,1.0,0.25,1.0,0.333333,8,81,8500.0,1509.423237,1834.031569,0.0,12,5
C10133,4245.855092,1.0,1957.3,1077.3,880.0,0.0,0.833333,0.166667,0.583333,0.0,0,19,5000.0,1004.35474,1086.428906,0.0,12,5
C10149,10598.46777,1.0,2084.48,1300.48,784.0,0.0,0.666667,0.416667,0.583333,0.0,0,13,21500.0,3219.621433,3068.125648,0.0,12,5
C10156,7679.62904,1.0,4059.93,0.0,4059.93,555.469352,0.583333,0.0,0.5,0.166667,7,14,7000.0,3685.61062,12854.9397,0.0,12,5
C10160,106.455975,0.636364,2463.12,789.53,1673.59,0.0,1.0,0.5,1.0,0.0,0,46,4000.0,2573.722764,95.342224,0.636364,12,5
C10175,349.441102,1.0,1975.4,1393.5,581.9,0.0,0.666667,0.416667,0.333333,0.0,0,17,4000.0,1795.012223,167.219681,0.0,12,5
C10184,336.799916,1.0,3535.8,1614.7,1921.1,0.0,1.0,0.416667,0.916667,0.0,0,44,20000.0,2814.231227,186.230835,1.0,12,5
C10186,903.29781,1.0,2697.48,150.5,2546.98,0.0,1.0,0.333333,1.0,0.0,0,39,2500.0,1686.196344,303.361632,0.0,12,5
C10202,5588.846272,1.0,3507.35,603.75,2903.6,0.0,0.916667,0.166667,0.833333,0.0,0,34,11500.0,1412.597253,1825.176503,0.0,12,5
C10203,281.170378,0.818182,3163.69,56.8,3106.89,0.0,0.75,0.083333,0.666667,0.0,0,36,8000.0,2422.911622,187.046284,0.888889,12,5
C10211,8350.145568,1.0,1989.28,842.8,1146.48,893.757903,0.333333,0.166667,0.166667,0.083333,2,8,14000.0,4720.900413,2557.044576,0.0,12,5
C10230,3061.213971,1.0,1829.2,1792.7,36.5,0.0,1.0,1.0,0.083333,0.0,0,17,7000.0,971.234118,985.954762,0.0,12,5
C10232,5431.622968,1.0,1824.16,1598.56,225.6,0.0,1.0,0.916667,0.75,0.0,0,23,14500.0,1508.016452,1370.519926,0.0,12,5
C10236,3019.019487,1.0,2260.41,1356.33,904.08,0.0,0.833333,0.416667,0.75,0.0,0,25,8500.0,2187.930651,739.224894,0.0,12,5
C10240,279.608696,1.0,3034.92,0.0,3034.92,0.0,1.0,0.0,1.0,0.0,0,12,2900.0,2928.909865,2733.317012,0.083333,12,5
C10243,2363.489077,1.0,2641.98,1386.3,1255.68,263.884743,0.833333,0.666667,0.75,0.083333,1,41,3000.0,1839.928884,1075.456585,0.0,12,5
C10250,237.235398,0.636364,2410.07,1670.5,739.57,0.0,0.5,0.083333,0.333333,0.0,0,15,4000.0,3773.727455,169.879335,1.0,12,5
C10253,2814.207626,1.0,3197.24,2080.02,1117.22,0.0,1.0,0.666667,1.0,0.0,0,49,3000.0,3574.480603,1328.897516,0.0,12,5
C10262,185.640313,1.0,1703.23,1703.23,0.0,0.0,1.0,1.0,0.0,0.0,0,13,11500.0,1449.039414,183.298253,1.0,12,5
C10272,2903.781184,1.0,3014.23,1340.34,1673.89,103.610197,1.0,0.833333,1.0,0.083333,1,93,4500.0,1350.370286,655.633916,0.0,12,5
C10276,8097.334733,1.0,3999.92,200.0,3799.92,0.0,1.0,0.083333,1.0,0.0,0,14,7500.0,5624.074339,9952.672511,0.0,12,5
C10277,1082.33027,1.0,2980.46,657.78,2322.68,0.0,1.0,0.5,1.0,0.0,0,50,6000.0,1116.967993,289.439818,0.0,12,5
C10294,2302.184366,1.0,2856.57,922.84,1933.73,0.0,1.0,0.25,1.0,0.0,0,62,2500.0,2914.419813,2173.680619,0.0,12,5
C10301,280.142117,1.0,2236.49,758.52,1477.97,0.0,1.0,1.0,0.666667,0.0,0,34,10000.0,1986.838064,233.614975,1.0,12,5
C10303,3605.714046,1.0,1779.0,1779.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,5000.0,856.05828,761.012234,0.0,12,5
C10310,191.450711,1.0,1641.07,1641.07,0.0,380.972341,0.666667,0.666667,0.0,0.083333,1,15,500.0,1583.918811,137.046292,0.636364,12,5
C10312,2762.479434,1.0,2702.47,1526.31,1176.16,0.0,1.0,0.25,1.0,0.0,0,27,11000.0,7596.768364,1013.086448,0.083333,12,5
C10314,388.873921,0.727273,1579.15,1462.35,116.8,0.0,0.583333,0.5,0.25,0.0,0,15,2700.0,451.600059,199.955286,0.0,12,5
C10322,1329.967543,1.0,2009.12,1296.68,712.44,1763.794583,1.0,1.0,1.0,0.25,10,36,2500.0,2715.972095,956.330023,0.0,12,5
C10343,706.675991,1.0,2721.16,2417.41,303.75,0.0,1.0,0.5,1.0,0.0,0,32,6500.0,4952.900653,280.821958,0.083333,12,5
C10344,361.319366,1.0,3095.96,1383.56,1712.4,0.0,1.0,0.916667,0.833333,0.0,0,32,14000.0,4003.782858,197.186568,0.583333,12,5
C10352,1132.386178,0.454545,2246.3,2246.3,0.0,14048.07181,0.333333,0.333333,0.0,0.416667,20,8,6000.0,32048.6122,406.790252,0.8,12,5
C10355,260.838885,1.0,2854.11,1797.96,1056.15,0.0,1.0,0.833333,0.916667,0.0,0,51,9500.0,2437.332725,176.283228,1.0,12,5
C10359,3536.601227,1.0,2132.93,959.1,1173.83,5340.016172,1.0,0.333333,1.0,0.75,20,74,11000.0,8251.146946,834.025674,0.0,12,5
C10362,1732.715258,1.0,3244.16,2480.85,763.31,0.0,1.0,0.666667,0.5,0.0,0,29,11500.0,5674.185857,563.827502,0.0,12,5
C10364,8939.461145,1.0,2490.17,905.17,1585.0,5309.949725,0.5,0.166667,0.416667,0.5,11,8,9500.0,3957.017497,4951.58548,0.0,12,5
C10367,1937.246177,1.0,3018.93,1702.62,1316.31,0.0,1.0,1.0,1.0,0.0,0,99,5000.0,3909.837604,444.12429,0.166667,12,5
C10406,1508.513765,0.818182,2747.12,1247.12,1500.0,246.046033,0.25,0.083333,0.166667,0.083333,1,4,5000.0,4730.374245,481.558276,0.1,12,5
C10430,681.615445,1.0,4117.24,290.0,3827.24,0.0,1.0,0.166667,1.0,0.0,0,229,6000.0,4561.589382,199.730537,0.0,12,5
C10453,4503.390811,1.0,1634.74,1376.0,258.74,94.837161,1.0,0.333333,1.0,0.083333,1,38,13000.0,1094.345336,1194.234398,0.0,12,5
C10461,5580.530306,1.0,2470.4,457.73,2012.67,1652.878895,0.5,0.083333,0.5,0.083333,1,19,9500.0,3340.041274,3024.949485,0.0,12,5
C10469,4994.04832,1.0,2506.89,2506.89,0.0,0.0,0.75,0.75,0.0,0.0,0,30,8500.0,1230.219396,1646.973276,0.0,12,5
